prime_genre,rating_count_tot
Entertainment,14198
"Photo & Video",14188
Games,14123
Games,14104
"Photo & Video",14057
Weather,13915
"Social Networking",13914
Sports,13898
Games,13870
Games,13842
Games,13805
Entertainment,13741
Productivity,13674
Games,13664
Games,13637
Music,13580
Sports,13572
Education,13567
Games,13559
Games,13503
Education,13482
Music,13443
"Health & Fitness",13436
"Health & Fitness",13350
Catalogs,13345
Games,13345
Games,13300
Games,13258
Entertainment,13257
Games,13245
Games,13241
Entertainment,13237
Games,13142
Games,13106
Games,13097
Games,13049
Music,13016
"Photo & Video",12982
"Photo & Video",12963
Games,12854
Education,12833
"Health & Fitness",12819
Navigation,12811
Games,12799
Productivity,12797
Entertainment,12787
"Photo & Video",12779
Games,12770
Productivity,12755
Games,12701
Utilities,12683
Games,12669
Shopping,12663
Shopping,12617
"Photo & Video",12616
Utilities,12590
Shopping,12578
Games,12573
"Photo & Video",12557
Lifestyle,12508
Games,12506
Shopping,12402
Games,12376
Games,12354
Games,12331
Games,12326
"Photo & Video",12319
Shopping,12298
Games,12251
Games,12181
Entertainment,12177
Games,12162
Games,12124
Games,12123
Reference,12122
Games,12099
Games,12079
"Social Networking",12079
Games,12077
News,12074
Productivity,12062
Games,12002
Entertainment,11999
"Photo & Video",11977
"Social Networking",11976
"Photo & Video",11955
Games,11945
Games,11933
Games,11900
Games,11876
"Health & Fitness",11875
Entertainment,11828
Games,11785
Productivity,11768
Games,11748
Business,11696
News,11691
Games,11687
Utilities,11677
Entertainment,11665
Games,11602
Games,11536
Reference,11530
Games,11528
Productivity,11505
Games,11447
Games,11447
"Social Networking",11437
Finance,11421
Games,11341
Games,11325
Productivity,11322
Games,11295
Games,11250
Games,11190
Games,11187
"Photo & Video",11174
Productivity,11156
Games,11154
Games,11151
"Social Networking",11124
Games,11123
Games,11100
Entertainment,11091
Games,11065
Games,11060
Productivity,11040
Games,11034
"Photo & Video",11021
Shopping,11013
Games,11000
Productivity,10939
Games,10871
Games,10849
Games,10846
Games,10828
Productivity,10778
Games,10771
"Photo & Video",10754
Games,10748
Games,10703
Games,10701
Games,10693
Shopping,10647
Games,10619
"Photo & Video",10618
Games,10604
Games,10555
Education,10534
Games,10514
"Photo & Video",10511
Games,10509
Games,10477
Sports,10472
Games,10463
"Photo & Video",10463
"Health & Fitness",10386
Games,10382
Games,10368
"Health & Fitness",10368
Games,10358
"Health & Fitness",10298
Games,10278
Travel,10278
Games,10275
Games,10263
Games,10239
Games,10159
